Data,Label
-46.3943563961523,0
311.346233647011,0
543.279050952907,0
603.441982514661,0
652.807243433169,0
429.820902570969,0
245.312241682096,0
-72.1144822983702,0
-236.168167469544,0
-360.393130118508,0
-228.0879597071469,0
-135.831627485745,0
134.38922701445298,0
328.172698642247,0
477.141203221501,0
573.552890618397,0
450.85411637786,0
207.39556968671693,0
-34.6003500328612,0
-252.801925935832,0
-337.575709798817,0
-503.804590547799,0
-341.267670503905,0
-41.22750162846221,0
189.45106671861305,0
506.80238898880697,0
746.1366740815539,0
821.970953312819,0
770.203684226313,0
533.892542199756,0
280.654036166091,0
56.5137294854218,0
-96.27530162075672,0
-186.094982112871,0
-94.9734990068348,0
21.5920694067464,0
208.086825106214,0
438.143650559012,0
545.579203181528,0
703.034934854311,0
510.403449287933,0
406.179315510467,0
160.966888576606,0
-77.7278732553086,0
-282.377756628582,0
-359.548496371423,0
-200.743245145139,0
-9.83989888416139,0
247.420426411386,0
565.92548949787,0
805.357694345524,0
877.897976225845,0
856.048329247754,0
659.081804091114,0
439.044014696303,0
144.97938851976002,0
-63.209702181463896,0
-142.34498771149998,0
-35.8377695601534,0
57.5127616794763,0
268.77269046721904,0
524.764428887536,0
639.285902001144,0
772.392314784247,0
618.57986610534,0
459.08866586565,0
162.989167138261,0
-160.32540500279,0
-229.948420647855,0
-299.802913533833,0
-259.568050968634,0
9.29452970273833,0
307.835770339396,0
528.5075383836901,0
730.373821032278,0
893.739151058196,0
794.894923887087,0
675.353637069622,0
436.26587221767096,0
173.52853397683103,0
-47.0717682796037,0
-189.322743651212,0
-95.0360421441585,0
46.236927671770296,0
226.921771337349,0
462.883380533421,0
581.7571271755651,0
661.08762129432,0
497.39977212427806,0
354.594638821409,0
123.644309499012,0
-197.017352920878,0
-338.215418418857,0
-371.506475965268,0
-226.542318615468,0
20.2519028136681,0
232.051519988912,0
481.848321902881,0
736.4694397705009,0
822.8088571804179,0
790.4966505020379,0
592.590898304817,0
388.007494586705,0
59.9538404856439,0
-126.576576057621,0
-210.815317720588,0
-112.199822407345,0
19.9487701755916,0
201.288442917982,0
422.2112538562,0
640.662440090501,0
600.643427256549,0
581.211858212457,0
401.528674662583,0
50.9385022607941,0
-96.695379298772,0
-327.825886464106,0
-313.46097727322604,0
-272.35277329491004,0
-101.589524925731,0
206.003848145084,0
506.092254472788,0
764.561868092014,0
841.276970282738,0
750.740003583098,0
666.3231326025799,0
395.93341681329,0
119.51258691424,0
-24.9037747068345,0
-92.11710364577392,0
-118.104949451999,0
13.3775495228458,0
214.27295206287,0
514.314168050249,0
635.244958857359,0
716.442114768775,0
675.031038420227,0
457.16011359755305,0
146.875990585688,0
-129.360376649219,0
-180.827688610106,0
-222.350142459034,0
-203.656252186111,0
91.9765936689626,0
369.925594555019,0
653.3531606879969,0
