Data,Label
0.0,0
0.02,0
-0.01,0
0.0,0
-0.03,0
-0.03,0
0.0,0
0.0,0
-0.02,0
-0.01,0
-0.02,0
-0.03,0
-0.02,0
-0.03,0
-0.02,0
-0.04,0
-0.03,0
-0.03,0
-0.03,0
-0.03,0
-0.04,0
-0.01,0
0.04,0
0.0,0
0.08,0
0.08,0
0.16,0
0.1,0
0.05,0
0.0,0
-0.11,0
-0.11,0
-0.12,0
-0.09,0
-0.1,0
-0.11,0
-0.12,0
-0.1,0
-0.12,0
0.15,0
0.47,0
0.69,0
-1.18,0
-1.54,0
-1.19,0
-0.85,0
-0.53,0
-0.09,0
-0.06,0
-0.03,0
-0.01,0
0.01,0
0.04,0
0.04,0
0.05,0
0.07,0
0.06,0
0.07,0
0.09,0
0.1,0
0.1,0
0.13,0
0.13,0
0.15,0
0.16,0
0.19,0
0.2,0
0.22,0
0.2,0
0.21,0
0.21,0
0.18,0
0.17,0
0.15,0
0.11,0
0.08,0
0.05,0
0.04,0
0.03,0
0.04,0
0.04,0
0.03,0
0.03,0
0.03,0
0.05,0
0.05,0
0.05,0
0.05,0
0.05,0
0.06,0
0.07,0
0.07,0
0.07,0
0.08,0
0.07,0
0.06,0
0.06,0
0.06,0
0.06,0
0.05,0
0.05,0
0.05,0
0.04,0
0.02,0
0.03,0
0.03,0
0.01,0
0.02,0
0.01,0
0.0,0
0.0,0
0.01,0
-0.01,0
-0.01,0
0.0,0
-0.02,0
-0.02,0
-0.03,0
-0.01,0
-0.03,0
-0.03,0
-0.03,0
-0.04,0
-0.04,0
-0.03,0
0.03,0
0.03,0
0.05,0
0.06,0
0.14,0
0.14,0
0.04,0
0.02,0
-0.07,0
-0.12,0
-0.1,0
-0.09,0
-0.07,0
-0.08,0
-0.08,0
-0.07,0
-0.07,0
0.09,0
0.43,0
0.82,0
-1.2,0
-1.89,0
-1.56,0
-1.26,0
-0.47,0
-0.1,0
-0.02,0
-0.02,0
0.03,0
0.05,0
0.05,0
0.07,0
0.09,0
0.09,0
0.1,0
0.11,0
0.13,0
0.13,0
0.14,0
0.16,0
0.19,0
0.18,0
0.22,0
0.23,0
0.24,0
0.26,0
0.28,0
0.28,0
0.26,0
0.25,0
0.24,0
0.21,0
0.15,0
0.12,0
0.07,0
0.03,0
0.01,0
0.02,0
0.01,0
0.01,0
0.02,0
0.02,0
0.04,0
0.02,0
0.03,0
0.02,0
0.03,0
0.02,0
0.04,0
0.02,0
0.04,0
0.04,0
0.04,0
0.05,0
0.05,0
0.05,0
0.06,0
0.05,0
0.06,0
0.07,0
0.05,0
0.06,0
0.05,0
0.03,0
0.02,0
0.04,0
0.03,0
0.02,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.01,0
0.0,0
-0.01,0
0.0,0
0.0,0
-0.01,0
-0.01,0
0.0,0
-0.01,0
0.0,0
0.04,0
0.06,0
0.04,0
0.12,0
0.14,0
0.18,0
0.07,0
0.05,0
-0.03,0
-0.11,0
-0.08,0
-0.1,0
-0.08,0
-0.07,0
-0.08,0
-0.07,0
-0.08,0
-0.05,0
0.36,0
0.55,0
-0.24,0
-1.83,0
-1.83,0
-1.17,0
-0.62,0
-0.26,0
-0.02,0
-0.02,0
0.02,0
0.04,0
0.05,0
0.06,0
0.08,0
0.09,0
0.09,0
0.1,0
0.12,0
0.12,0
0.13,0
0.15,0
0.18,0
0.18,0
0.2,0
0.22,0
0.23,0
0.24,0
0.26,0
0.26,0
0.24,0
0.22,0
0.19,0
0.17,0
0.13,0
0.09,0
0.06,0
0.03,0
0.0,0
0.0,0
-0.01,0
-0.01,0
0.0,0
0.03,0
0.0,0
0.02,0
0.02,0
0.01,0
0.01,0
0.01,0
0.02,0
0.02,0
0.02,0
0.01,0
0.02,0
0.01,0
0.03,0
0.02,0
0.02,0
0.02,0
0.03,0
0.02,0
0.0,0
0.03,0
0.0,0
0.0,0
-0.02,0
-0.01,0
-0.04,0
-0.03,0
-0.03,0
-0.04,0
-0.03,0
-0.05,0
-0.05,0
-0.04,0
-0.04,0
-0.04,0
-0.04,0
-0.03,0
-0.03,0
-0.02,0
-0.01,0
0.02,0
0.04,0
0.03,0
0.1,0
0.1,0
0.17,0
0.07,0
0.04,0
-0.05,0
-0.1,0
-0.09,0
-0.11,0
-0.07,0
-0.06,0
-0.08,0
-0.08,0
-0.09,0
-0.07,0
0.33,0
0.54,0
-0.15,0
-1.77,0
-1.75,0
-1.14,0
-0.6,0
-0.28,0
-0.02,0
-0.03,0
-0.01,0
0.01,0
0.04,0
0.05,0
0.05,0
0.07,0
0.06,0
0.07,0
0.08,0
0.09,0
0.11,0
0.1,0
0.13,0
0.15,0
0.14,0
0.14,0
0.16,0
0.16,0
0.17,0
0.17,0
0.16,0
0.13,0
0.12,0
0.1,0
0.09,0
0.05,0
0.02,0
0.01,0
0.0,0
-0.01,0
0.0,0
0.0,0
-0.01,0
0.02,0
0.04,0
0.04,0
0.03,0
0.03,0
0.03,0
0.04,0
0.05,0
0.05,0
0.05,0
0.05,0
0.06,0
0.07,0
0.05,0
0.06,0
0.06,0
0.05,0
0.05,0
0.04,0
0.04,0
0.01,0
0.03,0
0.04,0
0.02,0
0.02,0
0.01,0
0.0,0
0.0,0
-0.02,0
-0.01,0
-0.01,0
-0.01,0
-0.01,0
-0.01,0
-0.01,0
-0.02,0
0.0,0
-0.01,0
-0.02,0
0.0,0
0.04,0
0.06,0
0.03,0
0.11,0
0.15,0
0.19,0
0.12,0
0.09,0
0.01,0
-0.08,0
-0.05,0
-0.04,0
-0.08,0
-0.04,0
-0.06,0
-0.07,0
-0.09,0
-0.01,0
0.3,0
0.61,0
-0.01,0
-1.5,0
-1.44,0
-1.12,0
-0.62,0
-0.34,0
-0.04,0
-0.04,0
-0.03,0
0.01,0
0.02,0
0.02,0
0.05,0
0.04,0
0.06,0
0.07,0
0.08,0
0.07,0
0.1,0
0.1,0
0.11,0
0.13,0
0.14,0
0.16,0
0.16,0
0.18,0
0.17,0
0.19,0
0.17,0
0.18,0
0.16,0
0.14,0
0.12,0
0.11,0
0.06,0
0.04,0
0.04,0
0.02,0
0.01,0
0.03,0
0.02,0
0.03,0
0.05,0
0.05,0
0.07,0
0.06,0
0.07,0
0.08,0
0.08,0
0.09,0
0.1,0
0.1,0
0.09,0
0.09,0
0.1,0
0.09,0
0.09,0
0.09,0
0.07,0
0.07,0
0.06,0
0.07,0
0.06,0
0.05,0
0.05,0
0.04,0
0.05,0
0.03,0
0.04,0
0.02,0
0.03,0
0.02,0
0.03,0
0.03,0
0.01,0
0.01,0
0.02,0
0.01,0
0.0,0
0.01,0
0.02,0
0.07,0
0.05,0
0.11,0
0.11,0
0.2,0
0.17,0
0.08,0
0.04,0
-0.05,0
-0.1,0
-0.07,0
-0.06,0
-0.06,0
-0.05,0
-0.06,0
-0.04,0
-0.05,0
0.08,0
0.44,0
0.77,0
-0.85,0
-1.85,0
-1.67,0
-1.23,0
-0.5,0
-0.14,0
0.01,0
0.02,0
0.05,0
0.08,0
0.09,0
0.1,0
0.11,0
0.12,0
0.14,0
0.14,0
0.15,0
0.17,0
0.18,0
0.19,0
0.22,0
0.23,0
0.25,0
0.26,0
0.28,0
0.3,0
0.3,0
0.31,0
0.31,0
0.29,0
0.27,0
0.25,0
0.21,0
0.16,0
0.13,0
0.09,0
0.08,0
0.04,0
0.06,0
0.06,0
0.06,0
0.08,0
0.09,0
0.07,0
0.08,0
0.07,0
0.07,0
0.07,0
0.08,0
0.07,0
0.08,0
0.07,0
0.08,0
0.09,0
0.07,0
0.08,0
0.09,0
0.09,0
0.09,0
0.09,0
0.09,0
0.07,0
0.07,0
0.06,0
0.05,0
0.03,0
0.04,0
0.02,0
0.02,0
0.01,0
0.01,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
-0.02,0
-0.01,0
-0.02,0
-0.01,0
0.0,0
0.04,0
0.06,0
0.04,0
0.12,0
0.12,0
0.18,0
0.08,0
0.04,0
-0.05,0
-0.14,0
-0.11,0
-0.12,0
-0.1,0
-0.09,0
-0.1,0
-0.09,0
-0.11,0
-0.09,0
0.26,0
0.45,0
0.37,0
-1.82,0
-1.94,0
-1.19,0
-0.84,0
-0.36,0
-0.03,0
-0.04,0
-0.02,0
0.0,0
0.04,0
0.05,0
0.06,0
0.08,0
0.07,0
0.08,0
0.09,0
0.1,0
0.11,0
0.14,0
0.14,0
0.15,0
0.17,0
0.19,0
0.19,0
0.21,0
0.22,0
0.22,0
0.21,0
0.2,0
0.19,0
0.16,0
0.13,0
0.1,0
0.05,0
0.01,0
0.01,0
-0.01,0
-0.01,0
-0.01,0
0.01,0
0.01,0
0.01,0
0.01,0
0.02,0
0.0,0
0.01,0
0.01,0
0.01,0
0.01,0
0.01,0
0.02,0
0.03,0
0.04,0
0.03,0
0.04,0
0.03,0
0.04,0
0.05,0
0.04,0
0.02,0
0.03,0
0.03,0
0.02,0
0.02,0
0.03,0
0.01,0
0.01,0
0.01,0
0.0,0
0.0,0
-0.01,0
-0.01,0
-0.01,0
-0.03,0
-0.01,0
-0.02,0
-0.02,0
-0.03,0
-0.01,0
0.04,0
0.05,0
0.05,0
0.1,0
0.2,0
0.14,0
0.09,0
0.05,0
-0.08,0
-0.09,0
-0.1,0
-0.09,0
-0.08,0
-0.09,0
-0.1,0
-0.1,0
-0.1,0
0.05,0
0.38,0
0.72,0
-1.19,0
-1.87,0
-1.49,0
-1.23,0
-0.5,0
-0.14,0
-0.07,0
-0.06,0
-0.05,0
-0.01,0
0.01,0
0.02,0
0.01,0
0.03,0
0.04,0
0.05,0
0.07,0
0.07,0
0.09,0
0.1,0
0.1,0
0.12,0
0.14,0
0.15,0
0.16,0
0.17,0
0.14,0
0.16,0
0.16,0
0.14,0
0.11,0
0.1,0
0.08,0
0.06,0
0.02,0
-0.01,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.02,0
0.01,0
0.04,0
0.03,0
0.03,0
0.01,0
0.04,0
0.03,0
0.03,0
0.03,0
0.03,0
0.02,0
0.03,0
0.03,0
0.02,0
0.03,0
0.03,0
0.01,0
0.02,0
-0.01,0
0.02,0
0.01,0
-0.01,0
-0.02,0
-0.02,0
-0.03,0
-0.04,0
-0.04,0
-0.04,0
-0.06,0
-0.04,0
-0.06,0
-0.04,0
-0.06,0
-0.06,0
-0.06,0
-0.06,0
-0.07,0
-0.06,0
-0.02,0
0.01,0
-0.01,0
0.07,0
0.09,0
0.12,0
0.1,0
0.03,0
-0.02,0
-0.11,0
-0.13,0
-0.11,0
-0.12,0
-0.12,0
-0.13,0
-0.12,0
-0.15,0
-0.15,0
0.15,0
0.45,0
0.57,0
-1.34,0
-1.58,0
-1.2,0
-0.86,0
-0.57,0
-0.13,0
-0.1,0
-0.06,0
-0.07,0
-0.04,0
-0.04,0
-0.01,0
-0.01,0
0.01,0
0.01,0
0.02,0
0.03,0
0.05,0
0.06,0
0.06,0
0.09,0
0.1,0
0.1,0
0.12,0
0.12,0
0.13,0
0.13,0
0.12,0
0.16,0
0.14,0
0.12,0
0.09,0
0.08,0
0.07,0
0.02,0
0.01,0
0.0,0
-0.02,0
-0.03,0
-0.02,0
-0.03,0
-0.03,0
-0.01,0
0.0,0
-0.02,0
-0.01,0
0.02,0
0.02,0
0.02,0
0.02,0
0.03,0
0.02,0
0.01,0
0.02,0
0.02,0
0.01,0
0.01,0
0.0,0
-0.01,0
-0.01,0
0.01,0
0.0,0
-0.02,0
0.0,0
-0.02,0
-0.02,0
-0.03,0
-0.02,0
-0.02,0
-0.03,0
-0.02,0
-0.04,0
-0.02,0
-0.03,0
-0.02,0
-0.02,0
0.04,0
0.02,0
0.07,0
0.09,0
0.18,0
0.12,0
0.1,0
0.03,0
-0.07,0
-0.08,0
-0.08,0
-0.09,0
-0.07,0
-0.08,0
-0.08,0
-0.09,0
-0.06,0
0.23,0
0.54,0
0.69,0
-1.64,0
-1.92,0
-1.37,0
-1.1,0
-0.48,0
-0.05,0
-0.03,0
0.0,0
0.02,0
0.02,0
0.06,0
0.07,0
0.07,0
0.07,0
0.09,0
0.1,0
0.12,0
0.14,0
0.16,0
0.18,0
0.19,0
0.22,0
0.24,0
0.25,0
0.27,0
0.29,0
0.29,0
0.29,0
0.29,0
0.26,0
0.25,0
0.21,0
0.17,0
0.12,0
0.07,0
0.04,0
0.04,0
0.01,0
0.02,0
0.02,0
0.03,0
0.01,0
0.04,0
0.03,0
0.04,0
0.03,0
0.03,0
0.04,0
0.03,0
0.05,0
0.06,0
0.06,0
0.06,0
0.07,0
0.07,0
0.07,0
0.07,0
0.08,0
0.06,0
0.06,0
0.06,0
0.05,0
0.05,0
0.05,0
0.04,0
0.04,0
0.03,0
0.03,0
0.02,0
0.0,0
0.02,0
0.0,0
0.0,0
-0.01,0
0.0,0
-0.02,0
0.0,0
0.0,0
0.04,0
0.06,0
0.04,0
0.09,0
0.19,0
0.14,0
0.1,0
0.06,0
-0.06,0
-0.11,0
-0.08,0
-0.07,0
-0.07,0
-0.08,0
-0.08,0
-0.09,0
-0.09,0
0.04,0
0.41,0
0.71,0
-1.08,0
-1.98,0
-1.71,0
-1.3,0
-0.5,0
-0.15,0
-0.03,0
-0.03,0
0.01,0
0.02,0
0.05,0
0.07,0
0.08,0
0.09,0
0.09,0
0.1,0
0.12,0
0.13,0
0.14,0
0.17,0
0.18,0
0.18,0
0.2,0
0.22,0
0.24,0
0.26,0
0.27,0
0.25,0
0.23,0
0.24,0
0.21,0
0.18,0
0.15,0
0.1,0
0.06,0
0.03,0
0.01,0
0.0,0
0.0,0
0.0,0
0.02,0
0.02,0
0.01,0
0.03,0
0.04,0
0.02,0
0.01,0
0.03,0
0.02,0
0.02,0
0.04,0
0.04,0
0.05,0
0.05,0
0.06,0
0.06,0
0.07,0
0.06,0
0.06,0
0.06,0
0.06,0
0.06,0
0.06,0
0.03,0
0.04,0
0.03,0
0.03,0
0.01,0
0.01,0
0.01,0
0.02,0
-0.01,0
0.0,0
-0.01,0
-0.01,0
-0.01,0
0.01,0
0.02,0
0.06,0
0.04,0
0.1,0
0.18,0
0.15,0
0.13,0
0.05,0
-0.05,0
-0.08,0
-0.11,0
-0.08,0
-0.09,0
-0.09,0
-0.1,0
-0.1,0
-0.11,0
-0.05,0
0.32,0
0.56,0
-0.61,0
-1.93,0
-1.86,0
-1.27,0
-0.6,0
-0.25,0
-0.05,0
-0.04,0
0.0,0
0.0,0
0.04,0
0.04,0
0.06,0
0.05,0
0.08,0
0.1,0
0.1,0
0.09,0
0.11,0
0.13,0
0.13,0
0.15,0
0.16,0
0.18,0
0.19,0
0.2,0
0.2,0
0.2,0
0.18,0
0.17,0
0.14,0
0.11,0
0.09,0
0.04,0
0.02,0
-0.01,0
-0.03,0
-0.05,0
-0.03,0
-0.02,0
-0.01,0
-0.01,0
-0.01,0
-0.01,0
0.0,0
0.0,0
0.0,0
0.0,0
-0.01,0
0.0,0
0.01,0
0.02,0
0.01,0
0.03,0
0.03,0
0.02,0
0.02,0
0.03,0
0.02,0
0.02,0
0.02,0
0.02,0
0.01,0
-0.01,0
-0.01,0
0.0,0
0.0,0
-0.03,0
-0.01,0
-0.03,0
-0.04,0
-0.03,0
-0.04,0
-0.04,0
-0.06,0
-0.04,0
-0.05,0
-0.05,0
-0.05,0
-0.03,0
0.01,0
0.01,0
0.0,0
0.07,0
0.14,0
0.12,0
0.07,0
0.04,0
-0.06,0
-0.12,0
-0.12,0
-0.12,0
-0.12,0
-0.12,0
-0.14,0
-0.15,0
-0.15,0
-0.1,0
0.27,0
0.51,0
-0.28,0
-1.83,0
-1.72,0
-1.26,0
-0.65,0
-0.31,0
-0.09,0
-0.08,0
-0.05,0
-0.03,0
-0.02,0
0.0,0
0.01,0
0.03,0
0.02,0
0.04,0
0.05,0
0.05,0
0.07,0
0.09,0
0.1,0
0.09,0
0.1,0
0.12,0
0.13,0
0.14,0
0.14,0
0.15,0
0.14,0
0.11,0
0.11,0
0.1,0
0.11,0
0.07,0
0.04,0
0.02,0
0.0,0
0.0,0
0.0,0
-0.03,0
-0.02,0
0.0,0
-0.02,0
0.0,0
0.0,0
-0.02,0
0.0,0
0.0,0
0.0,0
0.01,0
-0.01,0
0.02,0
0.01,0
0.01,0
0.0,0
0.01,0
0.01,0
0.0,0
0.01,0
-0.02,0
-0.02,0
-0.01,0
-0.03,0
-0.03,0
-0.04,0
-0.03,0
-0.05,0
-0.06,0
-0.05,0
-0.05,0
-0.09,0
-0.06,0
-0.07,0
-0.08,0
-0.07,0
-0.06,0
-0.03,0
-0.04,0
0.01,0
0.04,0
0.1,0
0.07,0
0.02,0
-0.02,0
-0.13,0
-0.13,0
-0.13,0
-0.16,0
-0.17,0
-0.17,0
-0.16,0
-0.19,0
-0.17,0
0.14,0
0.5,0
0.25,0
-1.55,0
-1.6,0
-1.33,0
-0.8,0
-0.51,0
-0.12,0
-0.13,0
-0.08,0
-0.07,0
-0.05,0
-0.03,0
-0.01,0
-0.01,0
0.01,0
0.03,0
0.03,0
0.05,0
0.07,0
0.08,0
0.1,0
0.14,0
0.14,0
0.17,0
0.19,0
0.21,0
0.23,0
0.24,0
0.24,0
0.24,0
0.22,0
0.21,0
0.18,0
0.15,0
0.11,0
0.09,0
0.07,0
0.04,0
0.03,0
0.01,0
0.02,0
0.02,0
0.03,0
0.02,0
0.03,0
0.02,0
0.03,0
0.06,0
0.07,0
0.05,0
0.07,0
0.07,0
0.07,0
0.06,0
0.06,0
0.07,0
0.04,0
0.05,0
0.02,0
0.02,0
0.01,0
0.02,0
0.01,0
0.0,0
-0.01,0
-0.01,0
-0.02,0
-0.03,0
-0.01,0
-0.02,0
-0.02,0
-0.03,0
-0.02,0
-0.04,0
-0.03,0
-0.03,0
-0.02,0
-0.03,0
-0.02,0
0.04,0
0.01,0
0.07,0
0.1,0
0.15,0
0.11,0
0.02,0
-0.01,0
-0.09,0
-0.11,0
-0.11,0
-0.09,0
-0.1,0
-0.11,0
-0.09,0
-0.1,0
-0.07,0
0.31,0
0.46,0
0.19,0
-1.98,0
-2.14,0
-1.28,0
-0.89,0
-0.32,0
-0.01,0
0.0,0
0.03,0
0.05,0
0.09,0
0.09,0
0.1,0
0.13,0
0.13,0
0.15,0
0.18,0
0.18,0
0.19,0
0.22,0
0.23,0
0.26,0
0.28,0
0.3,0
0.31,0
0.33,0
0.34,0
0.35,0
0.36,0
0.33,0
0.32,0
0.29,0
0.25,0
0.2,0
0.15,0
0.1,0
0.08,0
0.06,0
0.06,0
0.04,0
0.05,0
0.07,0
0.06,0
0.07,0
0.06,0
0.05,0
0.05,0
0.06,0
0.05,0
0.07,0
0.06,0
0.06,0
0.07,0
0.08,0
0.07,0
0.08,0
0.1,0
0.08,0
0.1,0
0.09,0
0.1,0
0.09,0
0.1,0
0.08,0
0.08,0
0.06,0
0.04,0
0.06,0
0.04,0
0.04,0
0.04,0
0.02,0
0.01,0
0.02,0
0.01,0
0.01,0
0.01,0
0.04,0
0.07,0
0.05,0
0.11,0
0.14,0
0.2,0
0.15,0
0.08,0
0.02,0
-0.08,0
-0.08,0
-0.07,0
-0.07,0
-0.06,0
-0.07,0
-0.08,0
-0.07,0
-0.03,0
0.28,0
0.49,0
0.39,0
-1.88,0
-2.03,0
-1.2,0
-0.89,0
-0.32,0
0.01,0
0.01,0
0.03,0
0.05,0
0.08,0
0.07,0
0.11,0
0.1,0
0.1,0
0.13,0
0.12,0
0.14,0
0.16,0
0.18,0
0.18,0
0.2,0
0.23,0
0.23,0
0.26,0
0.28,0
0.27,0
0.28,0
0.26,0
0.26,0
0.23,0
0.23,0
0.17,0
0.16,0
0.11,0
0.07,0
0.06,0
0.05,0
0.05,0
0.04,0
0.06,0
0.05,0
0.07,0
0.06,0
0.08,0
0.05,0
0.07,0
0.07,0
0.07,0
0.07,0
0.08,0
0.08,0
0.1,0
0.08,0
0.09,0
0.11,0
0.09,0
0.11,0
0.11,0
0.1,0
0.07,0
0.09,0
0.08,0
0.08,0
0.06,0
0.06,0
0.03,0
0.03,0
0.02,0
0.04,0
0.02,0
0.03,0
0.02,0
0.02,0
0.0,0
0.02,0
0.02,0
0.01,0
0.03,0
0.02,0
0.02,0
0.01,0
0.03,0
0.08,0
0.05,0
0.11,0
0.11,0
0.21,0
0.13,0
0.07,0
0.03,0
-0.09,0
-0.1,0
-0.09,0
-0.06,0
-0.06,0
-0.07,0
-0.06,0
-0.07,0
-0.06,0
0.2,0
0.46,0
0.68,0
-1.71,0
-1.95,0
-1.22,0
-0.97,0
-0.39,0
-0.03,0
-0.06,0
-0.01,0
0.02,0
0.04,0
0.04,0
0.05,0
0.06,0
0.06,0
0.09,0
0.1,0
0.11,0
0.12,0
0.14,0
